Year,Food,Predicted
0,0.1,-674439772533518.0
1,688067652700174,0.0
2,1100964009912170,674439772533518.0
3,1719490372932462,1348879545067036.0
4,2288820958302698,2023319317600554.0
5,2809369591097550,2697759090134072.0
6,3243402878507530,3372198862667590.0
7,3692146158464754,4046638635201108.0
8,4212201453656574,4721078407734626.0
9,5080087154586926,5395518180268144.0
10,5283905661438930,6069957952801662.0
11,5598256767704234,6744397725335180.0
12,6416142296984438,7418837497868698.0
13,6785708430977934,8093277270402216.0
14,7374429798531806,8767717042935734.0
15,7734514673861394,9442156815469252.0
16,8471754832011186,1.011659658800277e+16
17,9.57157294701884E+015,1.0791036360536288e+16
18,1.0017094842107E+016,1.1465476133069806e+16
19,1.06214108452925E+016,1.2139915905603324e+16
20,1.12267802164925E+016,1.2814355678136842e+16
21,1.20811823269668E+016,1.348879545067036e+16
22,1.31179684714526E+016,1.4163235223203878e+16
23,1.37450674202142E+016,1.4837674995737396e+16
24,1.43388206076206E+016,1.5512114768270914e+16
25,1.4948996722785E+016,1.6186554540804432e+16
26,1.57602988785994E+016,1.6860994313337952e+16
27,1.65822177038152E+016,1.7535434085871468e+16
28,1.73460967107143E+016,1.8209873858404988e+16
29,1.77565015141165E+016,1.8884313630938504e+16
30,1.80988595309061E+016,1.9558753403472024e+16
31,1.89143158631272E+016,2.023319317600554e+16
32,1.95198031149991E+016,2.090763294853906e+16
33,2.03862918939846E+016,2.1582072721072576e+16
34,2.12860200336262E+016,2.2256512493606092e+16
35,2.19719512431664E+016,2.2930952266139612e+16
36,2.26942202586217E+016,2.3605392038673132e+16
37,2.34551516226607E+016,2.427983181120665e+16
38,2.41965593341164E+016,2.4954271583740164e+16
39,2.49050685593643E+016,2.5628711356273684e+16
40,2.54029280410008E+016,2.6303151128807204e+16
41,2.5977519656253E+016,2.697759090134072e+16
42,2.66159095906398E+016,2.765203067387424e+16
43,2.73425744475606E+016,2.8326470446407756e+16
44,2.81291047381874E+016,2.9000910218941276e+16
45,2.89808078828531E+016,2.967534999147479e+16
46,3.00097355442027E+016,3.034978976400831e+16
47,3.08933687788095E+016,3.1024229536541828e+16
48,3.14964527837457E+016,3.1698669309075348e+16
49,3.30401768772746E+016,3.2373109081608864e+16
50,3.38874724039408E+016,3.3047548854142384e+16
51,3.49345161403914E+016,3.3721988626675904e+16
52,3.57630795268412E+016,3.4396428399209416e+16
53,3.67326750886038E+016,3.5070868171742936e+16
54,3.75200826834533E+016,3.5745307944276456e+16
55,3.83847736842491E+016,3.6419747716809976e+16
56,3.93978341681757E+016,3.709418748934349e+16
57,4.02356927881602E+016,3.776862726187701e+16
58,-1.6860994313338E+016,3.844306703441053e+16
