Year,NormalizedPop,Predicted
0,0,63281185.5
0.04,4184537.20000005,65060261.77973739
0.08,8403837.20000005,66889354.70161123
0.12,12665258.1,68769870.42482847
0.16,16961560.4,70703254.64111227
0.2,21290948.1,72690993.68611221
0.24,25651126.8,74734615.68206081
0.28,30038528.6,76835691.71255402
0.32,34452803.5,78995837.03035972
0.36,38886512.9,81216712.29918215
0.4,44113927.6,83500024.87033696
0.44,48767896.6,85847530.09531885
0.48,53560806,88261032.67527011
0.52,58493281,90742388.04838808
0.56,63565736,93293503.81633797
0.6,68778938,95916341.21076758
0.64,74130078,98612916.60105124
0.68,79617713,101385303.04442234
0.72,85242311,104235631.879686
0.76,91003211,107166094.36573705
0.8,96901138,110178943.36614305
0.84,102813384,113276495.08108737
0.88,108736226,116461130.82800382
0.92,114668436,119735298.8722718
0.96,120606603,123101516.30937918
1,126562371,126562371.0
1.04,132531147,130120523.55947478
1.08,138514226,133778709.40322249
1.12,144511641,137539740.84965697
1.16,150524939,141406509.2822245
1.2,156554804,145381987.37222442
1.24,162594331,149469231.36412162
1.28,168541032,153671383.42510805
1.32,174390477,157991674.06071943
1.36,180145416,162433424.5983643
1.4,185805915,167000049.74067393
1.44,191366230,171695060.1906377
1.48,196802297,176522065.35054022
1.52,202096882,181484776.09677616
1.56,207265135,186587007.63267595
1.6,212316429,191832682.4215352
1.64,217095260,197225833.20210245
1.68,221741208,202770606.08884466
1.72,226258688,208471263.759372
1.76,230640797,214332188.7314741
1.8,234897869,220357886.7322861
1.84,239020544,226552990.16217473
1.88,243017719,232922261.65600765
1.92,246891605,239470597.7445436
1.96,250644996,246203032.61875835
2,254281661,253124742.0
2.04,257925289,260241047.11894956
2.08,261524195,267557418.80644497
2.12,265084371,275079481.69931394
2.16,268611192,282813018.5644491
2.2,272100258,290763974.7444489
2.24,275539056,298938462.7282433
2.28,278934180,307342766.85021603
2.32,282304532,315983348.12143886
2.36,285697745,324866849.1967285
2.4,289059032,334000099.48134786
2.44,292533706,343390120.3812754
2.48,296325739,353044130.70108044
2.52,300435725,362969552.1935523
2.56,304861734,373174015.2653519
2.6,309606230,383665364.8430704
2.64,314677489,394451666.40420496
2.68,320081916,405541212.1776894
2.72,325804154,416942527.51874405
2.76,331846227,428664377.46294814
2.8,338208717,440715773.46457213
2.84,344891707,453105980.3243494
2.88,351821445,465844523.3120153
2.92,357829229,478941195.4890872
2.96,365317437,492406065.2375167
3,373095999,506249484.0
3.04,381182660,520482094.2378991
3.08,388810525,535114837.61288995
3.12,397661027,550158963.3986279
3.16,406865398,565626037.1288981
3.2,416244173,581527949.4888978
3.24,425459632,597876925.4564866
3.28,435057250,614685533.7004321
3.32,444792454,631966696.2428777
3.36,454354763,649733698.393457
3.4,464309599,668000198.9626957
3.44,474417789,686780240.7625508
3.48,484361638,706088261.4021609
3.52,494717752,725939104.3871046
3.56,505247554,746348030.5307038
3.6,515955575,767330729.6861408
3.64,526830092,788903332.8084099
3.68,537922777,811082424.3553787
3.72,549249679,833885055.0374881
3.76,560791419,857328754.9258963
3.8,572536111,881431546.9291443
3.84,584506813,906211960.6486988
3.88,596717005,931689046.6240306
3.92,609126236,957882390.9781744
3.96,621787323,984812130.4750334
4,634627501,1012498968.0
4.04,647628314,1040964188.4757982
4.08,660550785,1070229675.2257799
4.12,673872483,1100317926.7972558
4.16,687376222,1131252074.2577963
4.2,701089198,1163055898.9777956
4.24,714951087,1195753850.9129732
4.28,728494564,1229371067.4008644
4.32,742635312,1263933392.4857557
4.36,757398257,1299467396.7869146
4.4,772630099,1336000397.925392
4.44,787976637,1373560481.5251021
4.48,804539284,1412176522.8043222
4.52,821299359,1451878208.7742088
4.56,837613437,1492696061.0614073
4.6,853132205,1534661459.372281
4.64,867435622,1577806665.6168194
4.68,880969535,1622164848.710757
4.72,892634429,1667770110.0749757
4.76,905401569,1714657509.8517926
4.8,919319869,1762863093.8582885
4.84,935547949,1812423921.2973976
4.88,951765017,1863378093.2480612
4.92,968403595,1915764781.956349
4.96,985310699,1969624260.9500668
5,1002190871,2024997936.0
5.04,1018930555,2081928376.9515965
5.08,1035771212,2140459350.4515598
5.12,1052547050,2200635853.5945115
5.16,1070281096,2262504148.5155926
5.2,1089511194,2326111797.955591
5.24,1110472617,2391507701.8259463
5.28,1132156403,2458742134.8017287
5.32,1153678256,2527866784.9715114
5.36,1175134989,2598934793.573829
5.4,1196429508,2672000795.850784
5.44,1218024088,2747120963.0502043
5.48,1239768933,2824353045.6086445
5.52,1262030826,2903756417.5484176
5.56,1283730199,2985392122.1228147
5.6,1304865112,3069322918.744562
5.64,1325613605,3155613331.233639
5.68,1346688849,3244329697.421514
5.72,1368051708,3335540220.1499515
5.76,1387954583,3429315019.703585
5.8,1408527736,3525726187.716577
5.84,1432028934,3624847842.594795
5.88,1460028812,3726756186.4961224
5.92,1490820287,3831529563.912698
5.96,1530479782,3939248521.9001336
6,1576030281,4049995872.0
6.04,1623186392,4163856753.903193
6.08,1669551942,4280918700.9031196
6.12,1715778688,4401271707.189023
6.16,1762413549,4525008297.031185
6.2,1809897701,4652223595.911182
6.24,1858564094,4783015403.651893
6.28,1908640117,4917484269.603457
6.32,1960258651,5055733569.943023
6.36,2013475233,5197869587.147658
6.4,2068321022,5344001591.701568
6.44,2124858308,5494241926.100409
6.48,2183230340,5648706091.217289
6.52,2243681367,5807512835.096835
6.56,2306497995,5970784244.245629
6.6,2371833480,6138645837.489124
6.64,2439770943,6311226662.467278
6.68,2510109966,6488659394.843028
6.72,2582352829,6671080440.299903
6.76,2655817617,6858630039.40717
6.8,2729963049,7051452375.433154
6.84,2804689972,7249695685.18959
6.88,2879992799,7453512372.992245
6.92,2955552012,7663059127.825396
6.96,3031018952,7878497043.800267
7,3106189576,8099991744.0
7.04,3180888996,8327713507.806386
7.08,3255276001,8561837401.806239
7.12,3329911820,8802543414.378046
7.16,3405585577,9050016594.06237
7.2,3482895333,9304447191.822365
7.24,3561836416,9566030807.303785
7.28,3642292413,9834968539.206915
7.32,3724587779,10111467139.886045
7.36,3809089839,10395739174.295317
7.4,3895940725,10688003183.403135
7.44,3985348089,10988483852.200817
