Year,Y25,Food,FoodC,Dif,Y25
1961,1.0,16860994313337950.0000000000000000000,16860994313337950.0000000000000000000,,1.0
1962,1.04,17549061966038124.00000000000000000000,17549061966038124.00000000000000000000,688067652700174.0,1.04
1963,1.08,17961958323250120.0000000000000000000,17961958323250120.0000000000000000000,412896357211996.0,1.08
1964,1.12,18580484686270412.00000000000000000000,18580484686270412.00000000000000000000,618526363020292.0,1.12
1965,1.16,19149815271640648.0000000000000000000,19149815271640648.0000000000000000000,569330585370236.0,1.16
1966,1.2,19670363904435500.000000000000000000,19670363904435500.000000000000000000,520548632794852.0,1.2
1967,1.24,20104397191845480.0000000000000000000,20104397191845480.0000000000000000000,434033287409980.0,1.24
1968,1.28,20553140471802704.00000000000000000000,20553140471802704.00000000000000000000,448743279957224.0,1.28
1969,1.32,21073195766994524.00000000000000000000,21073195766994524.00000000000000000000,520055295191820.0,1.32
1970,1.3599999999999999,21941081467924876.00000000000000000000,21941081467924876.00000000000000000000,867885700930352.0,1.3599999999999999
1971,1.4,22144899974776880.0000000000000000000,22144899974776880.0000000000000000000,203818506852004.0,1.4
1972,1.44,22459251081042184.00000000000000000000,22459251081042184.00000000000000000000,314351106265304.0,1.44
1973,1.48,23277136610322388.00000000000000000000,23277136610322388.00000000000000000000,817885529280204.0,1.48
1974,1.52,23646702744315884.00000000000000000000,23646702744315884.00000000000000000000,369566133993496.0,1.52
1975,1.56,24235424111869756.00000000000000000000,24235424111869756.00000000000000000000,588721367553872.0,1.56
1976,1.6,24595508987199344.00000000000000000000,24595508987199344.00000000000000000000,360084875329588.0,1.6
1977,1.6400000000000001,25332749145349136.00000000000000000000,25332749145349136.00000000000000000000,737240158149792.0,1.6400000000000001
1978,1.6800000000000002,26432567260356788.00000000000000000000,26432567260356788.00000000000000000000,1099818115007652.0,1.6800000000000002
1979,1.72,26878089155444988.00000000000000000000,26878089155444988.00000000000000000000,445521895088200.0,1.72
1980,1.76,27482405158630412.00000000000000000000,27482405158630412.00000000000000000000,604316003185424.0,1.76
1981,1.8,28087774529830420.0000000000000000000,28087774529830420.0000000000000000000,605369371200008.0,1.8
1982,1.8399999999999999,28942176640304752.0000000000000000000,28942176640304752.0000000000000000000,854402110474332.0,1.8399999999999999
1983,1.88,29978962784790584.00000000000000000000,29978962784790584.00000000000000000000,1036786144485832.0,1.88
1984,1.92,30606061733552192.0000000000000000000,30606061733552192.0000000000000000000,627098948761608.0,1.92
1985,1.96,31199814920958552.0000000000000000000,31199814920958552.0000000000000000000,593753187406360.0,1.96
1986,2.0,31809991036122932.00000000000000000000,31809991036122932.00000000000000000000,610176115164380.0,2.0
1987,2.04,32621293191937300.000000000000000000,32621293191937300.000000000000000000,811302155814368.0,2.04
1988,2.08,33443212017153192.0000000000000000000,33443212017153192.0000000000000000000,821918825215892.0,2.08
1989,2.12,34207091024052256.00000000000000000000,34207091024052256.00000000000000000000,763879006899064.0,2.12
1990,2.16,34617495827454428.00000000000000000000,34617495827454428.00000000000000000000,410404803402172.0,2.16
1991,2.2,34959853844244004.00000000000000000000,34959853844244004.00000000000000000000,342358016789576.0,2.2
1992,2.24,35775310176465104.00000000000000000000,35775310176465104.00000000000000000000,815456332221100.0,2.24
1993,2.2800000000000002,36380797428337016.00000000000000000000,36380797428337016.00000000000000000000,605487251871912.0,2.2800000000000002
1994,2.3200000000000003,37247286207322552.0000000000000000000,37247286207322552.0000000000000000000,866488778985536.0,2.3200000000000003
1995,2.3600000000000003,38147014346964160.0000000000000000000,38147014346964160.0000000000000000000,899728139641608.0,2.3600000000000003
1996,2.4,38832945556504352.0000000000000000000,38832945556504352.0000000000000000000,685931209540192.0,2.4
1997,2.44,39555214571959656.00000000000000000000,39555214571959656.00000000000000000000,722269015455304.0,2.44
1998,2.48,40316145935998616.00000000000000000000,40316145935998616.00000000000000000000,760931364038960.0,2.48
1999,2.52,41057553647454384.0000000000000000000,41057553647454384.0000000000000000000,741407711455768.0,2.52
2000,2.56,41766062872702224.0000000000000000000,41766062872702224.0000000000000000000,708509225247840.0,2.56
2001,2.6,42263922354338784.0000000000000000000,42263922354338784.0000000000000000000,497859481636560.0,2.6
2002,2.6399999999999997,42838513969590904.00000000000000000000,42838513969590904.00000000000000000000,574591615252120.0,2.6399999999999997
2003,2.6799999999999997,43476903903977792.0000000000000000000,43476903903977792.0000000000000000000,638389934386888.0,2.6799999999999997
2004,2.7199999999999998,44203568760898576.0000000000000000000,44203568760898576.0000000000000000000,726664856920784.0,2.7199999999999998
2005,2.76,44990099051525384.00000000000000000000,44990099051525384.00000000000000000000,786530290626808.0,2.76
2006,2.8,45841802196191064.00000000000000000000,45841802196191064.00000000000000000000,851703144665680.0,2.8
2007,2.84,46870729857540672.0000000000000000000,46870729857540672.0000000000000000000,1028927661349608.0,2.84
2008,2.88,47754363092147424.0000000000000000000,47754363092147424.0000000000000000000,883633234606752.0,2.88
2009,2.92,48357447097083688.0000000000000000000,48357447097083688.0000000000000000000,603084004936264.0,2.92
2010,2.96,49901171190612536.00000000000000000000,49901171190612536.00000000000000000000,1543724093528848.0,2.96
2011,3.0,50748466717278752.0000000000000000000,50748466717278752.0000000000000000000,847295526666216.0,3.0
2012,3.04,51795510453729384.00000000000000000000,51795510453729384.00000000000000000000,1047043736450632.0,3.04
2013,3.08,52624073840179176.00000000000000000000,52624073840179176.00000000000000000000,828563386449792.0,3.08
2014,3.12,53593669401941728.0000000000000000000,53593669401941728.0000000000000000000,969595561762552.0,3.12
2015,3.16,54381076996791264.0000000000000000000,54381076996791264.0000000000000000000,787407594849536.0,3.16
2016,3.2,55245767997587056.0000000000000000000,55245767997587056.0000000000000000000,864691000795792.0,3.2
2017,3.24,56258828481513632.0000000000000000000,56258828481513632.0000000000000000000,1013060483926576.0,3.24
2018,3.28,57096687101498128.0000000000000000000,57096687101498128.0000000000000000000,837858619984496.0,3.28
2019,3.32,0,0,-57096687101498128.0000000000000000000,3.32
,,,,,
