Year,Food,D
0,0.1,
1,688067652700174.0,
2,1100964009912170.0,1.6000810466698627
3,1719490372932462.0,1.561804343694791
4,2288820958302698.0,1.3311042587573696
5,2809369591097550.0,1.2274309097470302
6,3243402878507530.0,1.1544949047591897
7,3692146158464754.0,1.1383557013317185
8,4212201453656574.0,1.1408544713213808
9,5080087154586926.0,1.206040881586266
10,5283905661438930.0,1.0401210649836925
11,5598256767704234.0,1.0594921874853644
12,6416142296984438.0,1.146096465956778
13,6785708430977934.0,1.0575994292033066
14,7374429798531806.0,1.0867590132323188
15,7734514673861394.0,1.0488288430654364
16,8471754832011186.0,1.0953182183028598
17,9571572947018838.0,1.1298217591061421
18,1.0017094842107038e+16,1.0465463615598272
19,1.0621410845292462e+16,1.0603284697520454
20,1.122678021649247e+16,1.0569951939547009
21,1.2081182326966802e+16,1.0761039313140903
22,1.3117968471452634e+16,1.08581826814844
23,1.3745067420214242e+16,1.0478045781346634
24,1.4338820607620602e+16,1.04319754638185
25,1.4948996722784982e+16,1.0425541355081946
26,1.576029887859935e+16,1.054271344817261
27,1.6582217703815242e+16,1.052151220706351
28,1.7346096710714306e+16,1.0460661547534327
29,1.7756501514116478e+16,1.0236597783493664
30,1.8098859530906056e+16,1.0192807134061517
31,1.891431586312715e+16,1.0450556749627569
32,1.9519803114999064e+16,1.0320121148580526
33,2.03862918939846e+16,1.0443902417396682
34,2.128602003362621e+16,1.0441339771018923
35,2.19719512431664e+16,1.0322244932804068
36,2.2694220258621704e+16,1.032872320144072
37,2.3455151622660664e+16,1.033529742611442
38,2.419655933411643e+16,1.031609589372233
39,2.490506855936427e+16,1.029281403833679
40,2.540292804100083e+16,1.0199902875372477
41,2.597751965625295e+16,1.0226191096681736
42,2.661590959063984e+16,1.0245747070095363
43,2.7342574447560624e+16,1.027301898304326
44,2.812910473818743e+16,1.0287657730304536
45,2.898080788285311e+16,1.030278359464083
46,3.000973554420272e+16,1.035503760471715
47,3.089336877880947e+16,1.0294448857539984
48,3.1496452783745736e+16,1.019521471072133
49,3.3040176877274584e+16,1.049012633394879
50,3.38874724039408e+16,1.0256444004465666
51,3.493451614039143e+16,1.0308976640089826
52,3.5763079526841224e+16,1.0237176144967928
53,3.673267508860378e+16,1.0271116350882155
54,3.752008268345331e+16,1.0214361625705237
55,3.83847736842491e+16,1.023046084628623
56,3.939783416817568e+16,1.0263922484540342
57,4.023569278816018e+16,1.0212666162410848
58,-1.686099431333795e+16,
