Country,Year,Population,Food supply kcal per capita per day,FoodSupplyperyear
Afghanistan,Y1961,9169406,2928.5479999999998,9801361644908.1191
Afghanistan,Y1962,9351442,2851.6687000000002,9733533274711.8691
Afghanistan,Y1963,9543200,2640.5524999999998,9197752025570
Afghanistan,Y1964,9744772,2893.0684000000001,10290186557517.801
Afghanistan,Y1965,9956318,2899.1981999999998,10535848816843.1
Afghanistan,Y1966,10174840,2687.2786000000001,9980059873504.7598
Afghanistan,Y1967,10399936,2920.1682000000001,11084890272070.801
Afghanistan,Y1968,10637064,2871.0729999999999,11147022346130.301
Afghanistan,Y1969,10893772,2890.6071999999999,11493709759100.801
Afghanistan,Y1970,11173654,2498.2465999999999,10188808237002.9
Afghanistan,Y1971,11475450,2478.6284000000001,10381832339564.699
Afghanistan,Y1972,11791222,2624.8130000000001,11296659768892.4
Afghanistan,Y1973,12108963,2688.8748000000001,11884212194663.801
Afghanistan,Y1974,12412960,2682.6287000000002,12154267403002.5
Afghanistan,Y1975,12689164,2722.2521999999999,12608233184533.699
Afghanistan,Y1976,12943093,2794.3063999999999,13200943176078.699
Afghanistan,Y1977,13171294,2463.0554000000002,11841193786266
Afghanistan,Y1978,13341199,2593.2602999999999,12627978628201.4
Afghanistan,Y1979,13411060,2590.8910000000001,12682507048877.9
Afghanistan,Y1980,13356500,2445.2543999999998,11920914743664
Afghanistan,Y1981,13171679,2444.8344999999999,11753939963375.801
Afghanistan,Y1982,12882518,2432.1579999999999,11436296513053.1
Afghanistan,Y1983,12537732,2464.4656,11278065363847
Afghanistan,Y1984,12204306,2381.6190999999999,10609093019223.301
Afghanistan,Y1985,11938204,2320.6327999999999,10112028538054.301
Afghanistan,Y1986,11736177,2300.154,9853180282009.1699
Afghanistan,Y1987,11604538,2599.7417,11011612491959.6
Afghanistan,Y1988,11618008,2386.875,10121717488425
Afghanistan,Y1989,11868873,2326.3649999999998,10078135718875.4
Afghanistan,Y1990,12412311,2186.9845999999998,9908119547704.8691
Afghanistan,Y1991,13299016,1938.4087,9409308835281.3105
Afghanistan,Y1992,14485543,1803.0730000000001,9533249387878.2402
Afghanistan,Y1993,15816601,1832.5208,10579251365997.301
Afghanistan,Y1994,17075728,1757.0378000000001,10950985338859.199
Afghanistan,Y1995,18110662,1790.5797,11836433061727.9
Afghanistan,Y1996,18853444,1800.1404,12387678871591.199
Afghanistan,Y1997,19357126,1841.4590000000001,13010554168694.4
Afghanistan,Y1998,19737770,1879.7864,13542518938499.699
Afghanistan,Y1999,20170848,1835.1198999999999,13510812466106.4
Afghanistan,Y2000,20779958,1774.0676000000001,13455743329263.699
Afghanistan,Y2001,21606992,1716.1794,13534738216723.199
Afghanistan,Y2002,22600774,1793.8624,14798077721666.6
Afghanistan,Y2003,23680872,1846.8690999999999,15963446826617.1
Afghanistan,Y2004,24726690,1910.7035000000001,17244561191141.5
Afghanistan,Y2005,25654274,1887.7645,17676668121622.602
Afghanistan,Y2006,26433058,1906.3457000000001,18392549456495
Afghanistan,Y2007,27100542,1989.2610999999999,19677169706173.398
Afghanistan,Y2008,27722282,1990.1793,20137893801584.301
Afghanistan,Y2009,28394806,2030.6652999999999,21046026744217.602
Afghanistan,Y2010,29185512,2170.0364,23116772538312.398
Afghanistan,Y2011,30117410,2151.9706999999999,23656301116158.801
Afghanistan,Y2012,31161378,2158.9739,24555959653362.5
Afghanistan,Y2013,32269592,2196.0277999999998,25865696211230
Afghanistan,Y2014,33370804,2265.0131999999999,27588638717433.699
Afghanistan,Y2015,34413600,2250.0261,28262496841160.398
Afghanistan,Y2016,35383028,2227.9983000000002,28774164074991.102
Afghanistan,Y2017,36296108,2302.9931999999999,30510236817319.898
Afghanistan,Y2018,37171920,2270.0050000000001,30798862154754
Afghanistan,Y2019,38041756,2273.0146,31561355381137.699
Africa,Y1961,290214460,2034.268,215486506027077
Africa,Y1962,297322600,2058.5315000000001,223397497283094
Africa,Y1963,304683360,2064.9475000000002,229641627021114
Africa,Y1964,312291840,2073.7637,236381110783346
Africa,Y1965,320147300,2086.9668000000001,243869926966519
Africa,Y1966,328256600,2053.0311999999999,245981180113161
Africa,Y1967,336631170,2082.3407999999999,255857999242599
Africa,Y1968,345280350,2093.2341000000001,263804699978176
Africa,Y1969,354214820,2126.4477999999999,274925053521485
Africa,Y1970,363447580,2141.77,284123710047059
Africa,Y1971,372983520,2122.2235999999998,288917366422601
Africa,Y1972,382837760,2082.0149999999999,290931994993536
Africa,Y1973,393044450,2110.2952,302745532920899
Africa,Y1974,403645950,2149.6073999999999,316703317201511
Africa,Y1975,414674700,2163.8494000000001,327512164288416
Africa,Y1976,426144450,2159.6714000000002,335921173040811
Africa,Y1977,438054820,2172.0093000000002,347282587176686
Africa,Y1978,450403900,2193.2266,360560802191665
Africa,Y1979,463183550,2226.0680000000002,376343498755211
Africa,Y1980,476386240,2263.1071999999999,393511292349599
Africa,Y1981,490003900,2271.3555000000001,406235164449554
Africa,Y1982,504034180,2282.0124999999998,419827489203346
Africa,Y1983,518479740,2239.5875999999998,423830990742657
Africa,Y1984,533345150,2221.2831999999999,432419376846215
Africa,Y1985,548626100,2264.0976999999998,453382228277039
Africa,Y1986,564327300,2297.4155000000001,473220414424000
Africa,Y1987,580424300,2285.3440000000001,484161254882608
Africa,Y1988,596849000,2301.2449999999999,501325958606825
Africa,Y1989,613512100,2307.6426000000001,516754830015043
Africa,Y1990,630349700,2321.9099999999999,534219574253355
Africa,Y1991,647344060,2347.3337000000001,554629372549480
Africa,Y1992,664512000,2345.1448,568807554388224
Africa,Y1993,681869300,2347.1289999999999,584158851007490
Africa,Y1994,699445440,2359.5783999999999,602394668553911
